, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55
1, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4, 0, 0, 0, 2, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5, 0, 0, 0, 0, 6, 10, 6, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6, 0, 0, 0, 0, 0, 10, 26, 41, 45, 36, 14, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7, 0, 0, 0, 0, 0, 0, 14, 38, 86, 142, 186, 218, 211, 170, 102, 30, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8, 0, 0, 0, 0, 0, 0, 0, 18, 50, 116, 236, 398, 589, 784, 956, 1069, 1091, 1011, 807, 538, 260, 62, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , 
9, 0, 0, 0, 0, 0, 0, 0, 0, 22, 62, 148, 300, 572, 966, 1498, 2160, 2919, 3734, 4507, 5172, 5621, 5770, 5513, 4871, 3900, 2702, 1542, 626, 126, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 
10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 74, 180, 372, 708, 1272, 2120, 3329, 4973, 7097, 9680, 12741, 16159, 19795, 23439, 26760, 29446, 31155, 31596, 30562, 27991, 23979, 18988, 13529, 8314, 4152, 1456, 254, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , 
11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 86, 212, 444, 860, 1544, 2674, 4352, 6816, 10276, 14979, 21138, 28975, 38674, 50373, 64076, 79610, 96620, 114451, 132264, 148860, 163125, 173827, 179777, 179983, 173857, 161318, 142931, 119842, 93914, 67699, 43630, 24120, 10712, 3310, 510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
